source,file,indicator_code,indicator_name,unit,data_format,notes
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Value Standard Local Currency,Value Standard Local Currency,,long (Element per row),"File structure: Element Code, Element..."
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Value US$; 2015 prices,Value US$; 2015 prices,,long (Element per row),"File structure: Element Code, Element..."
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Annual growth US$,Annual growth US$,,long (Element per row),"File structure: Element Code, Element..."
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Share of GDP US$,Share of GDP US$,,long (Element per row),"File structure: Element Code, Element..."
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Value US$ per capita; 2015 prices,Value US$ per capita; 2015 prices,,long (Element per row),"File structure: Element Code, Element..."
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Ratio of Value Added (Agriculture; Forestry and Fishing) US$,Ratio of Value Added (Agriculture; Forestry and Fishing) US$,,long (Element per row),"File structure: Element Code, Element..."
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Annual growth Standard Local Currency; 2015 prices,Annual growth Standard Local Currency; 2015 prices,,long (Element per row),"File structure: Element Code, Element..."
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Share of Value Added (Total Manufacturing) US$,Share of Value Added (Total Manufacturing) US$,,long (Element per row),"File structure: Element Code, Element..."
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Annual growth US$ per capita,Annual growth US$ per capita,,long (Element per row),"File structure: Element Code, Element..."
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Share of GDP Standard Local Currency,Share of GDP Standard Local Currency,,long (Element per row),"File structure: Element Code, Element..."
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Value US$ per capita,Value US$ per capita,,long (Element per row),"File structure: Element Code, Element..."
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Value Standard Local Currency; 2015 prices,Value Standard Local Currency; 2015 prices,,long (Element per row),"File structure: Element Code, Element..."
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Value US$,Value US$,,long (Element per row),"File structure: Element Code, Element..."
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Ratio of Value Added (Agriculture; Forestry and Fishing) Standard Local Currency,Ratio of Value Added (Agriculture; Forestry and Fishing) Standard Local Currency,,long (Element per row),"File structure: Element Code, Element..."
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Annual growth US$ per capita; 2015 prices,Annual growth US$ per capita; 2015 prices,,long (Element per row),"File structure: Element Code, Element..."
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Share of GDP Standard Local Currency; 2015 prices,Share of GDP Standard Local Currency; 2015 prices,,long (Element per row),"File structure: Element Code, Element..."
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Share of GDP US$; 2015 prices,Share of GDP US$; 2015 prices,,long (Element per row),"File structure: Element Code, Element..."
FAO,Macro-Statistics_Key_Indicators_E_Flags.csv, Description, Description,,wide,"Columns: Flag,  Description..."
