source,file,indicator_code,indicator_name,unit,data_format,notes,name_lower
FAO,Prices_E_All_Data_(Normalized).csv,Producer Price Index (2014-2016 = 100),Producer Price Index (2014-2016 = 100),,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 234 distinct items",producer price index (2014-2016 = 100)
FAO,Prices_E_AreaCodes.csv,M49 Code,M49 Code,,wide,"Columns: Area Code, M49 Code, Area...",m49 code
FAO,Prices_E_Elements.csv,Producer Price (SLC/tonne),Producer Price (SLC/tonne),,long (Element per row),"File structure: Element Code, Element...",producer price (slc/tonne)
FAO,Prices_E_Elements.csv,Producer Price (USD/tonne),Producer Price (USD/tonne),,long (Element per row),"File structure: Element Code, Element...",producer price (usd/tonne)
FAO,Prices_E_Elements.csv,Producer Price (LCU/tonne),Producer Price (LCU/tonne),,long (Element per row),"File structure: Element Code, Element...",producer price (lcu/tonne)
FAO,Prices_E_Elements.csv,Producer Price Index (2014-2016 = 100),Producer Price Index (2014-2016 = 100),,long (Element per row),"File structure: Element Code, Element...",producer price index (2014-2016 = 100)
FAO,Prices_E_Flags.csv, Description, Description,,wide,"Columns: Flag,  Description...", description
FAO,Prices_E_ItemCodes.csv,Item Code,Item Code,,wide,"Columns: Item Code, CPC Code, Item...",item code
FAO,Prices_E_ItemCodes.csv,CPC Code,CPC Code,,wide,"Columns: Item Code, CPC Code, Item...",cpc code
FAO,Prices_E_ItemCodes.csv,Item,Item,,wide,"Columns: Item Code, CPC Code, Item...",item
FAO,Production_Crops_Livestock_E_All_Data_(Normalized).csv,Stocks,Stocks,An,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 21 distinct items",stocks
FAO,Production_Crops_Livestock_E_All_Data_(Normalized).csv,Yield/Carcass Weight,Yield/Carcass Weight,g/An,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 35 distinct items",yield/carcass weight
FAO,Production_Crops_Livestock_E_All_Data_(Normalized).csv,Laying,Laying,1000 An,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 3 distinct items",laying
FAO,Production_Crops_Livestock_E_All_Data_(Normalized).csv,Production,Production,t,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 280 distinct items",production
FAO,Production_Crops_Livestock_E_All_Data_(Normalized).csv,Yield,Yield,kg/ha,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 171 distinct items",yield
FAO,Production_Crops_Livestock_E_All_Data_(Normalized).csv,Milk Animals,Milk Animals,An,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 6 distinct items",milk animals
FAO,Production_Crops_Livestock_E_All_Data_(Normalized).csv,Producing Animals/Slaughtered,Producing Animals/Slaughtered,An,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 39 distinct items",producing animals/slaughtered
FAO,Production_Crops_Livestock_E_All_Data_(Normalized).csv,Area harvested,Area harvested,ha,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 169 distinct items",area harvested
FAO,Production_Crops_Livestock_E_AreaCodes.csv,M49 Code,M49 Code,,wide,"Columns: Area Code, M49 Code, Area...",m49 code
FAO,Production_Crops_Livestock_E_Elements.csv,Stocks,Stocks,,long (Element per row),"File structure: Element Code, Element...",stocks
FAO,Production_Crops_Livestock_E_Elements.csv,Yield/Carcass Weight,Yield/Carcass Weight,,long (Element per row),"File structure: Element Code, Element...",yield/carcass weight
FAO,Production_Crops_Livestock_E_Elements.csv,Laying,Laying,,long (Element per row),"File structure: Element Code, Element...",laying
FAO,Production_Crops_Livestock_E_Elements.csv,Production,Production,,long (Element per row),"File structure: Element Code, Element...",production
FAO,Production_Crops_Livestock_E_Elements.csv,Yield,Yield,,long (Element per row),"File structure: Element Code, Element...",yield
FAO,Production_Crops_Livestock_E_Elements.csv,Milk Animals,Milk Animals,,long (Element per row),"File structure: Element Code, Element...",milk animals
FAO,Production_Crops_Livestock_E_Elements.csv,Producing Animals/Slaughtered,Producing Animals/Slaughtered,,long (Element per row),"File structure: Element Code, Element...",producing animals/slaughtered
